Name,Platform,Year,Genre,Publisher,NA_,EU_,JP_,Other_,Global_,C_Score,U_Score,Rating
EternalDarkness:Sanity'sRequiem,GC,2002,Adventure,Nintendo,1.62,0.43,0,0.05,2.1,92,8.7,M
MaddenNFL2003,GC,2002,Sports,Electronic Arts,1.57,0.43,0,0.05,2.05,92,8.5,E
WorldSoccerWinningEleven5FinalEvolution,PS2,2001,Sports,Konami Digital Entertainment,0,0,2.05,0,2.05,92,,
SSX3,XB,2003,Sports,Electronic Arts,1.45,0.4,0,0.05,1.95,92,8.7,E
Journey,PS3,2012,Adventure,Sony Computer Entertainment Europe,0.36,1.18,0,0.36,1.91,92,8.8,E
SSX3,GC,2003,Sports,Electronic Arts,1.45,0.4,0,0.05,1.9,92,8.7,E
FinalFantasyVIAdvance,GBA,2006,Role-Playing,Nintendo,0,0,1.65,0.06,1.65,92,8.4,E10+
PrinceofPersia:TheSandsofTime,GC,2003,Action,Ubisoft,1.25,0.3,0,0.05,1.6,92,8.4,T
NFL2K3,GC,2002,Sports,Sega,0.81,0.19,0,0.05,1.05,92,8.3,E
WarcraftIII:ReignofChaos,PC,2002,Strategy,Vivendi Games,0.14,0.43,0,0.1,0.62,92,9.1,T
Rome:TotalWar,PC,2004,Strategy,Activision,0,0.47,0,0.11,0.53,92,9.1,T
AgeofEmpiresII:TheAgeofKings,PC,1999,Strategy,Microsoft Game Studios,0.04,0.33,0,0.04,0.38,92,9,T
TheSims,PC,2000,Simulation,Electronic Arts,0.04,0.13,0,0.04,0.22,92,7.9,T
TheSimsDeluxe,PC,2002,Simulation,Electronic Arts,0.05,0.1,0,0.05,0.19,92,8.2,T
MarioKartDS,DS,2005,Racing,Nintendo,53.94,41.5,22.94,10.56,128.94,91,8.6,E
